
SPDR S&P 500 ETF Trust,Last: 519.05,Change:  0.62
"Date: April 8, 2024 at 11:57 AM EDT",Bid: 519.04,Ask: 519.05,Size: 1*7,"Volume: 14,688,315"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 30 2024,SPY240430C00520000,6.92,-0.255,6.97,6.99,1026,0.1277,0.528,0.0242,17362,520.00,SPY240430P00520000,6.25,-0.995,6.23,6.26,883,0.1277,-0.4895,0.0257,6269
Tue Apr 30 2024,SPY240430C00521000,6.4,-0.215,6.39,6.42,731,0.1264,0.5038,0.0245,2568,521.00,SPY240430P00521000,6.83,-0.88,6.68,6.71,245,0.1264,-0.5156,0.0262,4659
Tue Apr 30 2024,SPY240430C00522000,5.82,-0.265,5.84,5.87,504,0.125,0.4792,0.0248,6038,522.00,SPY240430P00522000,6.65,-1.55,7.15,7.19,6,0.1251,-0.5424,0.0266,3339
Tue Apr 30 2024,SPY240430C00523000,5.24,-0.345,5.32,5.35,445,0.1237,0.4541,0.0249,3225,523.00,SPY240430P00523000,7.32,-1.375,7.66,7.69,28,0.1237,-0.5698,0.0269,2143
Tue Apr 30 2024,SPY240430C00524000,4.77,-0.325,4.83,4.85,508,0.1225,0.4287,0.0249,4928,524.00,SPY240430P00524000,7.62,-1.595,8.1,8.29,21,0.1224,-0.5978,0.0271,2072
Tue Apr 30 2024,SPY240430C00525000,4.37,-0.275,4.37,4.39,293,0.1211,0.4031,0.0248,6500,525.00,SPY240430P00525000,8.67,-1.12,8.62,8.86,9,0.1208,-0.6261,0.0272,3027
Tue Apr 30 2024,SPY240430C00526000,4.15,-0.065,3.93,3.96,379,0.12,0.3775,0.0246,6133,526.00,SPY240430P00526000,8.92,-1.46,9.17,9.47,1,0.1193,-0.6548,0.0273,4583
Tue Apr 30 2024,SPY240430C00527000,3.53,-0.275,3.53,3.55,408,0.1188,0.352,0.0243,1987,527.00,SPY240430P00527000,9.32,-1.68,9.8,10.11,60,0.1183,-0.6837,0.0272,1190
Tue Apr 30 2024,SPY240430C00528000,3.27,-0.16,3.15,3.17,701,0.1177,0.3267,0.0238,4656,528.00,SPY240430P00528000,10.39,-1.275,10.47,10.77,1,0.1173,-0.7127,0.027,4783
Tue Apr 30 2024,SPY240430C00529000,2.8,-0.275,2.8,2.82,254,0.1166,0.3019,0.0233,1891,529.00,SPY240430P00529000,11.48,0,11.15,11.49,0,0.1163,-0.7415,0.0267,45
